"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1
"3",1,1,1,0.894570683895599,0.545501266473331,0.514041334752762,0.710730149407144,1,1
"4",1,1,0.44715685914614,-0.380786314746155,0.0196762233398187,0.0196762233398187,-0.315223376528028,0.545501266473331,1
"5",1,0.697881869241217,-0.433500972798355,0.697881869241217,1,1,1,0.980066811056863,1
"6",1,0.059542601226093,0.0196762233398187,1,1,1,1,1,1
"7",1,-0.367938034580228,0.335964171653023,0.763444807459344,0.374509012150802,0.479938328255204,0.894570683895599,1,1
"8",1,-0.453434161741493,-0.00602033699203406,-0.0986013729305091,0.361660731984876,-0.0915164641532983,-0.328071656693954,0.821922836900261,1
"9",1,-0.453434161741493,-0.0915164641532983,1,1,1,-0.164164311148636,0.0794757901692302,1
"10",1,-0.413567783855218,0.394442201093939,1,1,1,0.190668477662347,-0.216878969200837,1
"11",1,-0.0786681839873719,0.0923240703351566,1,1,1,0.145038728387357,-0.00602033699203406,1
"12",1,0.514041334752762,-0.380786314746155,0.796226276568408,1,0.894570683895599,-0.29529018758489,0.421460298814287,1
"13",1,1,0.243383135714548,-0.413567783855218,-0.0458867148783084,-0.367938034580228,0.203516757828274,1,1
"14",1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1
